cluster	gene	p_val	p_val_adj	avg_logFC
0	Pdgfra	2.26191477003049e-42	2.93212011639052e-38	1.73788885950637
0	Clec3b	3.09959086544699e-42	4.01799963887893e-38	1.75515000302624
0	Loxl1	6.4899000744807e-41	8.41285746654933e-37	1.4356003247613
0	Col3a1	2.65352132465584e-39	3.43975969315137e-35	1.42372018703609
0	Htra3	4.36035249635886e-39	5.65232494103e-35	1.56260582840647
0	Smoc2	6.40327644528953e-39	8.30056725602882e-35	1.79331749256443
0	6330406I15Rik	1.2003504985966e-38	1.55601435133077e-34	1.51636021845494
0	Col1a2	1.46362566421399e-38	1.8972979485206e-34	1.38139112635166
0	Crispld2	1.04807048598527e-37	1.3586137709827e-33	1.6847064025825
0	Gpm6b	1.11538974836128e-35	1.44587973080073e-31	1.57140662693102
0	Col6a1	1.19660686803121e-35	1.55116148302886e-31	1.3617300806485
0	Col15a1	1.64873286741812e-35	2.1372524160341e-31	1.38331831272861
0	Abca8a	2.76106473057997e-35	3.57916821025082e-31	1.45736846597258
0	Fbln1	3.38527918257813e-35	4.38833740437603e-31	1.22000525363902
0	Gas1	5.07872743965201e-35	6.5835543800209e-31	1.21232080351096
0	Osr1	1.2315067007201e-34	1.59640213614347e-30	1.96728153652391
0	Mgp	3.74592251236073e-34	4.85583935277321e-30	1.43166358456016
0	Entpd2	4.72445767116239e-34	6.1243144791278e-30	1.46028301667872
0	Cygb	1.94359942745114e-33	2.51948793780491e-29	1.38292419599276
0	Matn2	3.29365679489001e-33	4.26956730321592e-29	1.42947281243669
0	Mfap5	3.84874460128899e-33	4.98912762665092e-29	1.10673696352576
0	Lum	1.67553999537906e-32	2.17200249600988e-28	1.27221117925138
0	Eln	2.92552020470556e-32	3.79235184135982e-28	1.49041585687038
0	Nupr1	4.76943334275511e-32	6.18261644221344e-28	1.38971827559892
0	Lrp1	4.96268386562912e-32	6.43312709501503e-28	1.35146519691965
0	Rarres2	9.74863741631134e-32	1.26371586827644e-27	1.46688512772596
0	Col1a1	1.42872026502498e-31	1.85205007955188e-27	1.18527680086443
0	S100a6	1.6587335694988e-31	2.15021632614129e-27	1.08233012003308
0	Mmp2	2.04493377465393e-31	2.65084765208388e-27	1.37525205887261
0	Dpt	3.58384997635753e-31	4.64574472435226e-27	1.18427497306113
0	Rnase4	3.99778182095405e-31	5.18232457450274e-27	1.15449330371567
0	Scn7a	4.17477685346032e-31	5.41176323514062e-27	1.66490753300721
0	Gsn	7.549909698353e-31	9.786947941975e-27	1.18962500742623
0	Dcn	7.66455138762803e-31	9.93555796378222e-27	1.2781301581437
0	Mfap4	1.16646386781196e-30	1.51208711184464e-26	1.83794347258481
0	Serping1	1.46471317569638e-30	1.89870768965522e-26	1.18700435736626
0	Col6a2	1.03380448554726e-29	1.34012075461491e-25	1.36458555351648
0	Igf1	1.22422870568111e-29	1.58696767117442e-25	1.44186673488637
0	Timp2	3.63993731314333e-29	4.71845073902769e-25	1.02611340893132
0	Ddr2	1.00634049843149e-27	1.30451918811675e-23	1.56345029100216
0	Ogn	2.86550888891538e-27	3.71455917270101e-23	1.33697998790965
0	Islr	2.98175153330602e-27	3.86524451262459e-23	1.31554173687497
0	Lhfp	4.34222622519663e-27	5.62882785572239e-23	1.08304987182593
0	Plac9	4.34927806304276e-27	5.63796915312233e-23	1.01363277263241
0	Tcf21	1.15706476946472e-26	1.49990306065712e-22	1.06326552253985
0	Aspa	2.20512898574211e-26	2.8585087042175e-22	2.11850918409354
0	Camk2n1	3.03001493144399e-26	3.92780835563085e-22	1.14326667589326
0	C1qtnf7	3.47492405545597e-26	4.50454405308758e-22	1.56699469499951
0	Ccdc80	7.36695732664427e-26	9.54978678252897e-22	1.07928260716664
0	Bgn	1.59104556211821e-25	2.06247236217383e-21	1.1160998015942
0	Serpinf1	1.96727925671906e-25	2.55018410048491e-21	1.30206420444026
0	Pmp22	2.31565165214342e-25	3.00177923667351e-21	0.990585301369805
0	Pcolce	2.77732081453674e-25	3.60024097188398e-21	1.20365920836224
0	Cd302	3.42141567564726e-25	4.43518114034154e-21	1.20877276814778
0	Axl	3.80497596632459e-25	4.93239034514656e-21	1.01876393227336
0	Col14a1	2.108098112832e-24	2.73272758366412e-20	1.44468320743041
0	Ms4a4d	3.78603604746515e-24	4.90783852832908e-20	1.46962439338632
0	Fstl1	5.13536579636151e-24	6.65697468182343e-20	0.884244266563097
0	Pmepa1	8.56940549503281e-24	1.1108520343211e-19	1.27396685181454
0	Mgst1	1.09319635634181e-23	1.41711043672588e-19	1.13035954276677
0	Lpar1	1.10965993176451e-23	1.43845216954634e-19	1.38096907203195
0	Sdc2	1.12848248908592e-23	1.46285185060208e-19	1.08605819898091
0	Sfrp1	1.15846166594331e-23	1.50171385756231e-19	1.07057984687577
0	Pi16	1.78379010156663e-23	2.31232710866082e-19	1.0042851128076
0	Prss23	1.81290604384105e-23	2.35007010463115e-19	1.2982889849422
0	Cpxm1	3.43364161274318e-23	4.45102962259899e-19	1.49925248873041
0	Mxra8	6.07849615168467e-23	7.87955456142884e-19	1.21234941351537
